,Institution Name,Issued by Top 25 Institution,Product Name,Report Date,Availability of Credit Card Plan,State,State (Multiple),Pertains to Specific Counties?,Requirements for Opening,Requirements for Opening Types,Geographic Restrictions,Professional Affiliation,Other,Secured Card,Targeted Credit Tiers,Purchase APR Offered?,Purchase APR Vary by Balance,Purchase APR Balance Tier 1,Purchase APR Tier 1 From Balance,Purchase APR Tier 1 To Balance,Purchase APR Balance Tier 2,Purchase APR Tier 2 From Balance,Purchase APR Tier 2 To Balance,Purchase APR Balance Tier 3,Purchase APR Tier 3 From Balance,Purchase APR Tier 3 To Balance,Purchase APR Balance Tier 4,Purchase APR Tier 4 From Balance,Purchase APR Tier 4 To Balance,Purchase APR Index,Variable Rate Index,Index,Purchase APR Vary by Credit Tier,Purchase APR no score,Purchase APR poor,Purchase APR good,Purchase APR great,Purchase APR min,Purchase APR median,Purchase APR max,Introductory APR Offered?,Introductory APR Vary By Credit Tier,Intro APR no score,Intro APR poor,Intro APR good,Intro APR great,Intro APR min,Intro APR median,Intro APR max,Median Length of Introductory APR,Balance Transfer Offered?,Balance Transfer APR Vary by Credit Tier,Transfer APR no score,Transfer APR poor,Transfer APR good,Transfer APR great,Transfer APR min,Transfer APR median,Transfer APR max,Median Length of Balance Transfer APR,Balance Transfer Grace Period,Cash Advance APR Offered?,Cash Advance APR Vary by Credit Tier,Advance APR no score,Advance APR poor,Advance APR good,Advance APR great,Advance APR min,Advance APR median,Advance APR max,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Balance Computation Method,Balance Computation Method Details,Periodic Fee Type,Annual Fee,Monthly Fee,Weekly Fee,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Periodic min,Periodic max,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Cash Advance Fee ($),Cash Advance Fee (%),Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Late Fees?,Late Fee Types,Late Fee ($),Late Fee Six Month Billing Cycle,Late Fee Policy Details,Over Limit Fees?,Over Limit Fee Types,Over Limit Fee ($),Overlimit Fee Detail,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name 2,Other Fee Amount 2,Other Fee Explanation 2,Other Fee Name 3,Other Fee Amount 3,Other Fee Explanation 3,Other Fee Name 4,Other Fee Amount 4,Other Fee Explanation 4,Other Fee Name 5,Other Fee Amount 5,Other Fee Explanation 5,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1st Financial Bank USA,FALSE,Visa,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,No,,,,,34.15%,34.65%,35.15%,Yes,No,,,,,0.00%,0.00%,0.00%,12,No,,,,,,,,,,,Yes,No,,,,,34.15%,34.65%,35.15%,Yes,24,Yes,$0.50,Average daily balance including new purchases,,Annual,$25.00,,,,,,Yes,$25.00,$55.00,"No annual fee for one year then $25 if the credit limit is less than $1,000 and $55 if the credit limit is equal to or greater than $1,000.",No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00,,No,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$30.00,$41.00,,No,,,,Yes,Yes,Returned Payment Fee,$30.00,"RETURNED PAYMENT FEE: If a payment of any type (including without limitation payment by check or electronic funds transfer) made to your account is returned or otherwise not honored for any reason, you may be charged a fee of up to $30 for the first retur",Replacement Card Fee,$10.00,"REPLACEMENT CARD FEE:  If your card is lost or stolen and/or you request that a new card be issued to you, you may be charged a fee of $10.  If you request that a new or replacement card be issued to you on an expedited basis, you may be charged a fee of ",Copy Fee,$3.00,"COPY FEE: For each copy of any statement or sales, refund, or cash advance slip you request from the Bank, you may be charged $3.",,,,,,,Extension on manufacturer’s warranty; Other,Travel and Emergency Assistance,,,Contactless Payments; Chip card; Fee-free foreign transactions,,Phone; Website,https://1fbusa.com,800-733-1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abound Federal Credit Union,FALSE,Classic Visa Card,2024-12-31,National,,,,Yes,Other. Please Describe:,,,Must be a member of Abound Credit Union,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,No,,F,Yes,,,15.66%,11.99%,10.99%,14.49%,17.99%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,,,15.66%,11.99%,10.99%,,17.99%,No,,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,3.00%,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00,$35.00,,No,,,,No,,,,,,,,,,,,,,,,,Access to Free Credit Scores,,,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://aboundcu.com,8002855669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama Credit Union,FALSE,Traditions Card,2024-12-31,National,,,,Yes,Other. Please Describe:,,,Must be eligible for membership with Alabama Credit Union,No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,No,,F,Yes,10.90%,10.90%,10.90%,10.90%,8.90%,10.90%,12.90%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,10.90%,10.90%,10.90%,10.90%,8.90%,,12.90%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,No,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,1.00%,,The fee is a passthrough only of the foreign transaction fee charged by MasterCard.,Yes,1. What is the amount of the first late fee on the account?,$20.00,,,No,,,,Yes,No,Returned Payment Fee,$20.00,Charged when a payment from the member is returned.,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Other,"Cell phone protection - $600 per claim, $25 deductible, up to 2 claims per year for a total of $1,000 benefit",Travel-related rewards; Other rewards,Redemption for merchandise,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.alabamacu.com/credit-cards/traditions-credit-card,888-817-2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama Credit Union,FALSE,Bama Card,2024-12-31,National,,,,Yes,Other. Please Describe:,,,Eligibility for membership with Alabama Credit Union,No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,No,,F,Yes,15.54%,15.54%,15.54%,15.54%,11.90%,15.54%,17.90%,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,No,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,1.00%,,This program passes through the 1.0% foreign transaction fee that MasterCard applies to the transaction.  There are no additional foreign transaction fees.,Yes,1. What is the amount of the first late fee on the account?,$20.00,,,No,,,,Yes,No,Returned Payment fee,$20.00,Payment made by the member for credit card payment is returned,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Other,"Cell phone protection:  $600 per claim, $25 deductible, up to 2 claims per year for total of $1,000 per year.",Cashback rewards; Travel-related rewards; Other rewards,Redemption for merchandise,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.alabamacu.com/credit-cards/bama-credit-card,888-817-2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ally Bank,TRUE,Ally Platinum Mastercard_1,2024-12-31,National,,,,No,,,,,No,No credit score; Credit score 619 or less; Credit scores from 620 to 719,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,29.99%,29.99%,29.99%,,29.24%,29.99%,31.99%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,29.99%,29.99%,29.99%,,29.24%,,31.99%,Yes,25,Yes,$1.50,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00,$40.00,$29.00 for the first occurrence and $40.00 for any subsequent occurrence within six (6) billing cycles. The Late Fee will not exceed the lesser of the amount stated in the Account Summary Table or the amount of the Minimum Payment Due when the payment was,No,,,,Yes,No,Expedited Delivery Fee,$29.00,Replacement plastic,,,,,,,,,,,,,Access to Free Credit Scores; Other,This product also features benefits as offered by Mastercard,,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Website,https://www.ally.com/credit-cards/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ally Bank,TRUE,Ally Platinum Mastercard_2,2024-12-31,National,,,,No,,,,,No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,28.99%,28.99%,28.99%,22.99%,22.49%,28.99%,29.99%,Yes,No,,,,,0.00%,0.00%,0.00%,9,Yes,No,,,,,0.00%,0.00%,0.00%,9,No,Yes,Yes,28.99%,28.99%,28.99%,22.99%,22.49%,,29.99%,Yes,25,Yes,$1.50,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$5.00,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00,$40.00,$29.00 for the first occurrence and $40.00 for any subsequent occurrence within six (6) billing cycles. The Late Fee will not exceed the lesser of the amount stated in the Account Summary Table or the amount of the Minimum Payment Due when the payment was,No,,,,Yes,No,Expedited Delivery Fee,$29.00,Replacement plastic,,,,,,,,,,,,,Access to Free Credit Scores; Other,This product also features benefits as offered by Mastercard,,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Website,https://www.ally.com/credit-cards/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ally Bank,TRUE,Ally Everyday Cash Back Mastercard_1,2024-12-31,National,,,,No,,,,,No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,29.99%,29.99%,29.99%,24.99%,20.49%,29.74%,31.99%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,29.99%,29.99%,29.99%,24.99%,20.49%,,31.99%,Yes,25,Yes,$1.50,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00,$40.00,$29.00 for the first occurrence and $40.00 for any subsequent occurrence within six (6) billing cycles. The Late Fee will not exceed the lesser of the amount stated in the Account Summary Table or the amount of the Minimum Payment Due when the payment was,No,,,,Yes,No,Expedited Delivery Fee,$29.00,Replacement plastic,,,,,,,,,,,,,Access to Free Credit Scores; Other,This product also features benefits as offered by Mastercard,Cashback rewards,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Website,https://www.ally.com/credit-cards/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ally Bank,TRUE,Ally Everyday Cash Back Mastercard_2,2024-12-31,National,,,,No,,,,,No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,29.99%,29.99%,29.99%,22.99%,19.49%,29.49%,29.99%,Yes,No,,,,,0.00%,0.00%,0.00%,0,Yes,No,,,,,0.00%,0.00%,0.00%,12,No,Yes,Yes,29.99%,29.99%,29.99%,22.99%,19.49%,,29.99%,Yes,25,Yes,$1.50,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$5.00,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00,$40.00,$29.00 for the first occurrence and $40.00 for any subsequent occurrence within six (6) billing cycles. The Late Fee will not exceed the lesser of the amount stated in the Account Summary Table or the amount of the Minimum Payment Due when the payment was,No,,,,Yes,No,Expedited Delivery Fee,$29.00,Replacement plastic,,,,,,,,,,,,,Access to Free Credit Scores; Other,This product also features benefits as offered by Mastercard,Cashback rewards,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Website,https://www.ally.com/credit-cards/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ally Bank,TRUE,Ally Everyday Cash Back Mastercard_4,2024-12-31,National,,,,No,,,,,No,No credit score; Credit score 619 or less; Credit scores from 620 to 719,Yes,No,,,,,,,,,,,,,Yes,Prime,V,No,,,,,28.49%,28.99%,28.99%,No,,,,,,,,,,No,,,,,,,,,,,Yes,No,,,,,28.49%,28.99%,28.99%,Yes,25,Yes,$1.50,Average daily balance including new purchases,,Annual,$39.00,,,,,,No,,,,No,,,,,,No,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00,$40.00,$29.00 for the first occurrence and $40.00 for any subsequent occurrence within six (6) billing cycles. The Late Fee will not exceed the lesser of the amount stated in the Account Summary Table or the amount of the Minimum Payment Due when the payment was,No,,,,Yes,No,Expedited Delivery Fee,$29.00,Replacement plastic,,,,,,,,,,,,,Access to Free Credit Scores; Other,This product also features benefits as offered by Mastercard,Cashback rewards,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Website,https://www.ally.com/credit-cards/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ally Bank,TRUE,Ally Unlimited Cash Back Mastercard_1,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,,26.99%,26.99%,26.49%,26.99%,26.99%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,,,26.99%,26.99%,26.49%,,26.99%,Yes,25,Yes,$1.50,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00,$40.00,$29.00 for the first occurrence and $40.00 for any subsequent occurrence within six (6) billing cycles. The Late Fee will not exceed the lesser of the amount stated in the Account Summary Table or the amount of the Minimum Payment Due when the payment was,No,,,,Yes,No,Expedited Delivery Fee,$29.00,Replacement plastic,,,,,,,,,,,,,Access to Free Credit Scores; Other,This product also features benefits as offered by Mastercard,Cashback rewards,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Website,https://www.ally.com/credit-cards/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
